2020-07-19 23:59:51,b'MusicStuffnMore',b'The crisis that shocked the world: America\xe2\x80\x99s response to the #coronavirus - The Washington Post https://t.co/X10wTjGiPM'
2020-07-19 23:59:36,b'Stijl',b'@DrDinD If you vote for #JoeBiden you vote for a future.\n\n#TrumpRussia\n#TrumpFailedAmerica \n#coronavirus'
2020-07-19 23:59:35,b'KaurGunjann',b'DilSeSewa- an initiative to support our Langars which feed millions during this #Coronavirus crisis. At a time of w\xe2\x80\xa6 https://t.co/sbsJy1vRng'
2020-07-19 23:59:32,b'TuxcedoCat',"b'Next #coronavirus relief bill; you be the judge:\n=&gt; Trump wants to cut funding for testing, CDC, and NIH. He\xe2\x80\x99ll vet\xe2\x80\xa6 https://t.co/txhPJHUG5W'"
2020-07-19 23:59:17,b'VirtualMarketer',b'Anyone else feel like watching @MLB @Yankees v @Mets baseball game \n(despite the fact that the crowd noise is fake)\xe2\x80\xa6 https://t.co/EYDHoIViji'
2020-07-19 23:59:16,b'frshpilot',b'Smaller room - but hopefully wont be here long...\xf0\x9f\xa4\x9e\xf0\x9f\x98\xb7\xf0\x9f\xa4\x97 #covid19 #coronavirus #sucks #hospital #life #nomore #needles\xe2\x80\xa6 https://t.co/qEcaQ18w16'
2020-07-19 23:59:11,b'janetleedesigns',"b'Coronavirus, Missing You, Mouse With Pink Rose, Verse Inside card.\n#coronavirus #covid19 #missingyou #mouse\xe2\x80\xa6 https://t.co/5t1tUsTehO'"
2020-07-19 23:59:11,b'IcemanCT',"b'@starsandstripes President Donald Trump: The #coronavirus will simply ""disappear."" https://t.co/5LYGY8yVUI'"
2020-07-19 23:59:06,b'GlobalPandemics',"b'ALERT: Illinois\xe2\x80\x99 daily COVID-19 case count dips below 1,000 for\nfirst time in four days - Global Pandemic News |\xe2\x80\xa6 https://t.co/Nyd3zR6irZ'"
2020-07-19 23:58:59,b'Al45457776',"b'@MJA_Editor Actually this could be the start of the first real #COVID19 #wave for NSW,activated by community transm\xe2\x80\xa6 https://t.co/R4d465KsAm'"
2020-07-19 23:58:52,b'AlArabiya_Eng',"b'There are six distinct types of the #coronavirus, each with a particular cluster of symptoms, #UK-based scientists\xe2\x80\xa6 https://t.co/x9balITZty'"
2020-07-19 23:58:36,b'CoachCarthel',"b""If you can't be a big time coach, #BeABigCoach!\n\nNothing fends off the #CoronaVirus like some good old-fashioned, h\xe2\x80\xa6 https://t.co/P6I9Cvv9Fm"""
2020-07-19 23:58:35,b'PrgrsvArchitect',b'@ProjectLincoln This fact\xe2\xa4\xb5 CAN NEVER BE FORGOTTEN\n\n#Trump had a choice\n\nAdmit #coronavirus was serious and protect\xe2\x80\xa6 https://t.co/8WfFic5huO'
